order_item_id,order_id,product_id,quantity,unit_price,discount
62,260,148,-7,23515.1,21.91
63,337,351,4,30144.8,42.12
64,482,151,8,19579.52,20.84
65,354,410,6,8185.09,10.36
66,407,67,2,7900.07,24.61
67,10,253,7,10550.7,2.35
68,258,183,6,8818.27,42.97
69,115,173,1,30916.39,6.03
70,286,175,8,38491.76,38.5
71,362,437,5,25817.83,33.47
72,500,225,1,48136.09,37.79
73,22,313,2,47374.44,41.18
74,373,323,9,10348.77,18.08
75,332,391,5,36654.34,4.96
76,394,71,6,10174.33,48.48
77,137,415,1,14409.24,8.56
78,386,213,6,33283.26,7.58
79,460,117,9,21498.26,45.9
80,75,265,8,18152.54,1.49
81,396,265,1,4330.43,15.74
82,463,202,3,33042.79,32.07
83,499,324,10,39973.63,43.79
84,381,454,5,27725.16,15.22
85,76,5,6,45020.41,30.52
86,227,106,7,31255.55,30.91
87,44,401,6,38792.48,44.05
88,277,200,1,37028.61,6.3
89,82,262,5,26114.66,37.85
90,156,408,-1,13008.64,41.61
91,260,57,7,42095.01,12.99
92,378,388,6,6325.02,14.9
93,458,121,1,49451.1,28.28
94,367,120,9,14298.32,39.24
95,265,366,10,36901.86,5.26
96,425,399,10,4989.59,35.58
97,40,32,7,6590.16,10.74
98,136,207,6,25995.36,19.74
99,375,217,10,34481.99,47.39
100,496,74,7,24289.74,22.89
101,81,61,9,22826.08,1.63
102,190,488,9,42630.66,5.52
103,156,268,10,18636.22,49.55
104,480,406,5,39211.25,21.09
105,281,111,5,37009.05,0.1
106,461,23,6,28695.65,28.29
107,71,244,6,41700.8,6.64
108,167,390,9,22508.83,43.32
109,174,341,2,19423.03,45.01
110,444,344,9,36822.05,32.3
111,331,293,3,38602.6,15.44
112,28,44,2,30973.33,28.84
113,480,385,10,44853.53,6.01
114,430,10,9,10369.67,41.48
115,252,414,10,16089.51,29.44
116,132,93,1,42996.46,15.87
117,394,51,2,14339.05,9.13
118,167,488,2,8542.63,30.72
119,458,30,-3,5027.34,7.12
120,386,483,6,6136.22,10.13
121,138,253,10,25270.62,47.47
122,120,284,1,24260.16,20.37
123,334,494,1,5165.32,38.15
124,401,209,3,42329.26,25.02
125,467,87,3,26923.03,21.19
126,335,1,9,48059.61,31.04
127,349,478,-3,13737.82,12.54
128,24,432,7,29299.44,25.52
129,426,289,3,4576.78,34.92
130,411,144,3,10621.42,25.24
131,232,485,6,13141.89,37.63
132,9,165,5,23043.99,29.98
133,89,2,3,313.53,0.48
134,404,357,7,38147.02,26.91
135,181,457,2,33613.49,33.61
136,5,184,7,41973.38,40.59
137,389,480,2,567.23,37.16
138,156,364,5,4589.33,30.67
139,361,253,4,1936.12,24.64
140,143,101,10,31957.96,5.55
141,350,88,10,33025.94,28.29
142,478,34,10,37324.07,6.37
143,348,452,10,39134.41,9.59
144,453,355,1,30761.38,34.03
145,481,219,-8,47159.4,2.59
146,186,209,6,34040.66,23.33
147,273,453,9,2443.54,45.92
148,13,201,8,4182.26,28.59
149,169,217,4,45858.06,9.84
150,304,321,5,24050.32,40.4
151,28,127,6,11994.12,17.04
152,392,122,6,38809.9,30.98
153,194,297,2,48728.83,45.84
154,227,356,6,6464.04,45.96
155,27,321,1,5181.2,2.79
156,307,206,5,37622.97,11.66
157,52,197,-10,21462.48,31.01
158,99,346,6,22758.43,16.41
159,464,305,2,29685.04,42.04
160,228,261,10,21108.25,36.23
161,263,409,3,6471.27,29.23
162,309,454,6,7366.67,23.48
163,122,900,6,32918.07,7.23
164,103,287,9,21160.85,9.77
165,240,175,4,23838.68,34.59
166,215,437,10,48156.94,30.81
167,472,233,6,45536.1,24.8
168,377,355,1,31233.61,11.95
169,186,193,6,9293.8,49.49
170,324,16,1,7205.86,22.02
171,90,185,10,1581.31,9.89
172,101,369,4,42391.96,12.3
173,195,135,1,1147.59,33.87
174,339,108,2,12083.48,40.47
175,34,410,3,44095.02,43.92
176,356,474,2,9563.09,26.63
177,316,220,6,12303.03,2.31
178,323,275,10,7513.49,12.36
179,373,436,5,29245.7,24.45
180,385,405,2,3337.16,25.43
181,356,266,9,16158.97,18.69
182,405,254,8,29101.22,31.91
183,203,107,10,10229.72,43.16
184,131,456,4,7944.75,42.12
185,299,385,9,22280.82,17.58
186,189,319,1,22612.45,21.63
187,39,196,8,22140.26,13.28
188,403,151,6,25688.27,32.18
189,171,51,5,18075.82,27.3
190,141,129,4,40796.68,34.18
191,468,71,4,37643.93,36.99
192,485,154,-5,17396.95,49.84
193,390,388,7,23653.0,25.63
194,265,117,3,37481.94,23.72
195,44,388,10,40738.45,17.03
196,231,220,6,34927.27,10.48
197,5,72,9,6504.45,47.17
198,386,428,8,11351.98,21.29
199,403,354,7,16371.37,1.16
200,410,79,1,49713.44,28.41
201,201,294,10,49010.59,10.21
202,328,97,2,16509.18,48.1
203,309,54,5,8964.04,41.32
204,120,102,-8,48153.43,14.19
205,168,36,5,18495.75,0.55
206,200,57,7,20978.82,37.16
207,82,106,4,40913.02,33.24
208,142,159,10,25173.5,34.24
209,127,74,-4,41246.67,30.24
210,378,292,9,23064.21,28.81
211,406,452,2,17404.41,42.13
212,461,422,5,8838.8,12.46
213,49,235,10,32988.09,34.93
214,322,23,7,43539.93,13.69
215,466,470,9,36354.23,45.11
216,54,391,8,49766.29,3.83
217,23,167,9,8325.47,10.37
218,382,328,-8,37511.83,19.06
219,70,204,7,12605.23,35.45
220,125,238,6,3505.03,27.42
221,311,421,8,8152.19,41.92
222,391,64,2,19603.39,3.88
223,458,79,1,8979.22,35.72
224,340,357,9,31776.04,26.14
225,194,158,2,29950.45,2.43
226,15,192,4,10079.29,0.8
227,50,99,1,3252.26,47.94
228,288,23,3,5473.42,16.36
229,110,479,4,46952.27,6.04
230,235,934,2,15880.39,19.46
231,454,418,4,31233.08,2.2
232,275,393,4,49156.81,5.09
233,199,492,10,16285.28,31.54
234,342,326,3,34412.49,48.9
235,328,10,8,29293.34,19.12
236,460,361,4,11707.03,30.82
237,71,378,2,12252.93,3.97
238,473,104,6,10298.83,1.9
239,330,228,10,16501.62,13.91
240,434,213,1,14493.91,1.18
241,128,106,6,45340.94,33.25
242,34,196,4,9258.92,31.49
243,65,99,8,49601.43,46.91
244,41,282,2,46597.45,11.82
245,311,160,7,9957.06,21.2
246,401,296,4,31816.63,13.59
247,217,498,8,18948.1,23.54
248,11,222,9,40998.23,39.68
249,79,43,7,46084.47,29.76
250,288,132,9,15361.78,14.16
251,98,171,10,23516.0,7.74
252,213,257,-1,18775.46,20.23
253,37,192,7,15459.76,49.38
254,391,472,7,46613.26,8.12
255,251,395,7,36140.04,25.48
256,245,334,6,21259.61,12.34
257,331,186,1,33853.64,34.87
258,297,234,3,7453.63,12.37
259,362,395,-3,35609.31,19.22
260,425,42,10,9522.28,21.15
261,301,155,7,26706.75,44.33
262,326,386,5,36409.84,4.44
263,384,177,10,13524.16,10.48
264,36,4,7,40837.83,0.08
265,96,336,7,21604.38,8.82
266,109,94,3,5600.89,28.35
267,462,384,3,37982.32,12.97
268,151,468,7,43431.26,8.31
269,249,142,2,1580.37,11.74
270,22,137,-2,460.61,29.12
271,137,908,2,26051.7,48.1
272,176,173,8,16893.86,34.09
273,500,482,6,19983.72,30.54
274,372,413,6,22900.27,34.92
275,418,63,-3,14045.43,34.96
276,339,317,4,43505.67,25.75
277,185,327,-4,40649.69,0.83
278,205,377,1,22270.88,30.34
279,338,179,10,46581.03,46.54
280,449,151,2,35625.9,43.49
281,155,367,10,6480.28,39.84
282,340,240,9,22369.71,5.78
283,55,109,9,47216.07,35.0
284,393,15,7,46455.47,45.13
285,341,132,5,47580.04,33.53
286,447,325,3,4613.04,34.59
287,467,393,4,3326.88,17.16
288,115,402,7,42821.44,40.42
289,97,45,5,17077.87,29.61
290,1,66,2,47708.02,28.85
291,395,275,5,19468.46,21.18
292,114,479,6,26035.59,30.08
293,152,276,2,15864.72,40.81
294,435,234,4,14241.3,37.35
295,435,159,1,34461.14,13.67
296,31,425,10,14645.61,48.32
297,359,367,6,36659.64,40.52
298,418,398,1,24426.48,19.59
299,179,281,3,21179.63,23.67
300,359,271,7,14189.97,46.15
301,28,68,9,39584.75,43.29
302,460,84,5,22150.0,24.12
303,372,412,3,36792.41,0.46
304,219,403,10,7465.51,47.52
305,61,50,3,23746.4,47.25
306,126,304,9,7513.56,36.13
307,335,204,1,34430.41,47.73
308,419,408,7,4571.6,23.18
309,63,335,7,678.96,5.83
310,294,466,8,1249.04,28.65
311,331,382,8,29684.66,19.2
312,408,65,7,3268.57,45.44
313,402,417,9,19750.45,40.87
314,334,266,9,26995.19,40.94
315,307,107,2,44890.35,9.03
316,106,229,-3,6239.96,6.44
317,260,132,3,1846.76,49.0
318,128,279,5,48857.44,32.91
319,228,485,5,39161.81,32.96
320,311,356,3,45548.08,49.84
321,97,353,9,41006.19,11.86
322,303,427,3,6796.98,27.6
323,196,374,6,3810.55,12.75
324,74,43,3,33858.63,47.01
325,99,323,9,49768.43,34.84
326,79,332,6,30286.74,20.98
327,139,223,6,48204.48,12.37
328,186,351,2,3391.37,32.01
329,194,75,6,11365.7,0.49
330,449,54,4,6262.82,26.32
331,444,414,5,26495.11,35.02
332,385,312,5,2493.37,15.9
333,305,413,7,48403.21,26.58
334,337,66,7,34364.25,35.66
335,499,291,3,2737.94,36.27
336,225,128,6,20970.36,22.89
337,368,258,6,47635.55,26.03
338,433,440,4,15352.51,38.53
339,30,40,2,47248.86,8.26
340,486,284,2,40436.51,0.53
341,347,478,7,24034.83,25.75
342,366,697,9,45553.23,37.3
343,472,384,7,49711.68,33.06
344,452,22,9,48235.9,33.73
345,488,90,9,41986.51,25.68
346,348,195,1,48489.45,16.9
347,151,436,4,5981.48,14.96
348,476,378,5,19741.71,46.15
349,30,19,9,44635.45,42.42
350,456,236,-6,17759.25,0.26
351,264,5,3,24653.1,4.24
352,116,468,3,7865.96,32.83
353,138,154,8,44620.45,26.82
354,223,337,2,8175.53,17.69
355,69,446,1,5622.22,14.24
356,246,170,7,8099.59,9.95
357,167,251,5,40011.02,35.72
358,491,473,7,41299.4,6.57
359,122,65,2,25050.05,38.37
360,246,176,1,29894.63,0.4
361,262,43,5,12462.59,7.62
362,342,393,3,13250.18,35.05
363,313,362,7,5242.94,36.52
364,68,438,3,31760.41,11.47
365,47,99,7,21372.52,30.82
366,173,269,1,31702.17,11.57
367,187,262,7,2677.61,5.5
368,21,365,5,16060.06,2.38
369,311,382,1,14337.32,14.01
370,50,130,2,18242.7,15.22
371,186,395,1,16627.47,37.06
372,45,191,10,13869.75,29.22
373,453,381,2,2147.84,48.42
374,176,229,4,3836.49,27.33
375,99,390,5,36066.4,2.19
376,287,130,7,37991.82,42.3
377,248,230,6,5959.7,21.81
378,357,488,7,1191.56,29.96
379,380,490,3,39740.08,34.69
380,385,273,7,48579.77,8.28
381,2,400,9,30400.2,10.35
382,234,304,3,43969.84,39.53
383,138,269,9,42638.51,14.82
384,76,115,9,11987.02,1.95
385,422,139,5,2670.85,49.0
386,167,1,4,31670.88,48.61
387,314,453,2,36131.77,20.42
388,375,30,5,619.37,17.77
389,400,936,5,48940.24,38.91
390,321,382,10,47288.25,12.87
391,323,419,10,16280.73,10.2
392,246,119,7,21751.79,7.42
393,252,236,2,43131.37,9.44
394,352,11,3,44274.13,40.87
395,497,74,10,12338.17,45.46
396,52,270,7,37547.17,0.59
397,23,57,7,38195.94,32.22
398,406,43,3,46936.06,29.98
399,44,55,1,40930.94,42.64
400,170,389,4,22271.88,8.16
401,11,29,8,13446.09,27.18
402,1,152,1,44334.2,20.76
403,472,219,-4,17730.16,14.34
404,57,367,7,5709.19,8.48
405,185,490,4,3906.87,16.69
406,93,310,2,21488.56,16.74
407,449,342,7,31275.44,14.35
408,365,256,2,46650.8,40.54
409,164,442,2,7517.28,32.79
410,58,370,3,48819.33,40.73
411,94,373,10,4613.31,49.74
412,407,254,7,34701.7,20.7
413,255,484,6,12370.82,20.93
414,367,273,9,11582.71,4.18
415,121,398,7,37439.35,35.15
416,57,885,-6,23748.92,6.68
417,151,185,1,43351.95,40.95
418,108,437,8,46573.95,21.05
419,376,71,4,34819.46,7.15
420,38,218,1,35099.95,33.14
421,126,446,8,7429.64,7.06
422,381,426,-2,7570.89,9.12
423,228,358,3,23562.21,36.13
424,89,80,1,32158.47,30.21
425,284,203,9,34027.19,43.8
426,140,257,5,11443.01,46.57
427,113,487,2,10672.03,30.95
428,355,382,7,30293.66,3.86
429,412,335,8,41379.96,8.24
430,399,100,6,5309.56,18.14
431,6,145,-6,5412.58,10.6
432,292,104,5,1715.1,13.46
433,159,405,10,2497.64,4.66
434,385,385,1,19967.01,9.74
435,460,499,7,33766.85,16.57
436,245,414,9,1281.9,39.8
437,454,20,10,7661.74,23.16
438,394,119,2,40393.05,32.71
439,477,257,3,36463.16,32.57
440,221,68,6,18079.79,42.8
441,311,397,1,12031.62,49.85
442,74,291,2,24926.39,40.24
443,233,497,5,44767.23,24.95
444,46,152,6,14077.85,18.17
445,391,396,2,49308.55,48.92
446,187,72,8,48586.86,24.41
447,263,439,5,34061.18,22.04
448,450,192,10,20718.39,22.5
449,288,330,1,39550.47,34.99
450,38,54,1,7994.47,19.96
451,274,237,4,17512.0,23.42
452,394,93,8,45881.27,46.12
453,109,169,7,17186.93,30.22
454,328,233,8,7871.48,23.5
455,414,17,4,38732.86,3.12
456,389,243,6,10653.5,1.15
457,42,326,7,7172.72,13.7
458,133,232,5,26286.42,33.48
459,153,48,3,21483.86,48.17
460,83,483,3,23827.42,34.44
461,458,355,7,41168.48,28.05
462,422,371,10,30863.97,16.19
463,59,460,-6,7459.58,43.22
464,325,830,7,47171.85,42.86
465,216,297,8,11009.28,48.95
466,498,308,9,17469.47,47.62
467,258,190,10,907.94,44.83
468,425,333,2,20761.28,17.59
469,220,499,9,5757.66,8.79
470,338,305,6,21850.22,14.25
471,45,360,7,46264.27,42.85
472,385,9,2,20622.86,24.82
473,342,52,10,25217.74,40.29
474,101,109,5,22786.03,19.05
475,421,180,8,45710.06,20.65
476,338,192,-7,25427.28,13.38
477,461,463,5,20794.35,12.08
478,420,14,7,18782.85,40.84
479,499,88,10,49642.17,12.09
480,220,330,7,2673.89,46.6
481,265,200,3,8768.49,45.21
482,296,51,3,6403.88,5.92
483,166,322,7,41883.16,7.95
484,15,14,4,31481.82,29.66
485,376,472,10,28632.51,1.26
486,460,325,3,17970.26,11.99
487,194,275,4,36343.0,40.35
488,297,141,5,7274.1,1.16
489,459,475,2,5443.13,14.12
490,52,254,3,45644.68,10.4
491,352,212,8,47964.94,3.82
492,153,161,7,22598.84,8.06
493,500,338,1,30372.08,1.57
494,268,248,6,30039.64,0.25
495,390,99,5,26844.11,25.9
496,113,187,3,10926.19,16.38
497,48,482,2,13755.96,9.96
498,263,334,6,37285.2,24.79
499,144,129,7,34384.17,44.37
500,489,407,7,15648.1,39.7
